family,requested_width,format_candidates,observed_payload_widths,cpu_status,cpu_notes,metal_status,metal_notes,gpu_status,gpu_notes,neural_status,neural_notes,next_action
int,4,int4,4,proxy_measured,timing_backends=aarch64_nibble_proxy,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,Add Metal type-surface kernel for int4 native vs lowered path verification.
int,8,int8,8,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_cpu|pytorch_mps,Tighten support honesty and deepen timing/counter fidelity rather than opening a new slot.
int,16,int16,16,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_cpu|pytorch_mps; gemm_256/1024+reduce_1m measured (2026-04-02),AIR lowering and neural timing now complete — no further gap here.
int,32,int32,32,measured,timing_backends=aarch64_scalar|agx_xorshift_lat,timed_surface,timing_backends=agx_type_surface|agx_int_alu,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_cpu|pytorch_mps; gemm_256/1024+reduce_1m measured (2026-04-02),AIR native confirmed (xorshift dep-chain) and neural timing complete.
int,64,int64,64,measured,timing_backends=apple_cpu_reference|agx_xorshift_lat,timed_surface,timing_backends=agx_type_surface|agx_int_alu,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_cpu|pytorch_mps; gemm_256/1024+reduce_1m measured (2026-04-02),AGX backend-lowers i64 shift/XOR to i32 pairs (2.51× xorshift penalty); neural GEMM confirmed working on MPS.
uint,4,uint4,4,proxy_measured,timing_backends=aarch64_nibble_proxy,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,Add Metal type-surface kernel for uint4 native vs lowered path verification.
uint,8,uint8,8,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_cpu|pytorch_mps,Tighten support honesty and deepen timing/counter fidelity rather than opening a new slot.
uint,16,uint16,16,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,partial_timed,reduce_1m measured on cpu+mps; gemm errors: NotImplementedError addmm_impl_cpu_ not implemented for UInt16 / MPS matmul_ushort fails (2026-04-02),No unsigned GEMM in PyTorch for uint16/32/64 — reduce-only neural coverage.
uint,32,uint32,32,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,partial_timed,reduce_1m measured on cpu+mps; gemm errors: NotImplementedError addmm_impl_cpu_ not implemented for UInt32 / MPS matmul_uint fails (2026-04-02),No unsigned GEMM in PyTorch for uint16/32/64 — reduce-only neural coverage.
uint,64,uint64,64,measured,timing_backends=aarch64_atomic|aarch64_cache|aarch64_mul,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,partial_timed,reduce_1m measured on cpu+mps; gemm errors: NotImplementedError addmm_impl_cpu_ not implemented for UInt64 / MPS matmul_ulong fails (2026-04-02),No unsigned GEMM in PyTorch for uint16/32/64 — reduce-only neural coverage.
bf,4,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Add only if a non-bfloat16 Apple bfloat variant is actually exposed.
bf,8,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Add only if a non-bfloat16 Apple bfloat variant is actually exposed.
bf,16,bfloat16,16,measured,timing_backends=apple_cpu_reference,timed_surface,timing_backends=agx_type_surface,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_cpu|pytorch_mps,Tighten support honesty and deepen timing/counter fidelity rather than opening a new slot.
bf,32,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Add only if a non-bfloat16 Apple bfloat variant is actually exposed.
bf,64,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Add only if a non-bfloat16 Apple bfloat variant is actually exposed.
fp,4,fp4_e2m1|fp4,4,proxy_measured,pytorch_proxy_cpu fp4 gemm_256=3.558ms / gemm_1024=23.99ms — clamp-float32-to-fp4-range proxy; no native AArch64 fp4 arithmetic,proxy_timed,timing_backends=agx_frontier_proxy,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,CPU proxy coverage present via pytorch_proxy_cpu in typed_neural_frontier_int4_fp4_20260402. GPU counter fidelity can be deepened further.
fp,8,fp8_e4m3|fp8_e5m2,8,proxy_measured,pytorch_proxy_cpu gemm_256=2.782ms / gemm_1024=21.68ms (fp8_e4m3); fp8_e5m2 similar — quantize-float32-GEMM proxy; no native AArch64 fp8 arithmetic,measured,timing_backends=agx_frontier_proxy|agx_metal_dep_chain; software FP8x8 (8-level cascaded Knuth two-sum on float32) measured on Metal AGX: 295ms/dispatch (96.0× baseline 3.073ms); probe_fp8x8_genuine_lat.metal confirmed genuine serial dep chain via reassociate(off) (2026-04-02),gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=pytorch_proxy_cpu|pytorch_proxy_mps,Metal genuine FP8x8 dep-chain measured (2026-04-02) — 96× overhead confirms software fp8 emulation on AGX is impractical; CPU proxy coverage also present.
fp,16,float16,16,measured,timing_backends=neon_convert|neon_fp16,measured,timing_backends=agx_type_surface|agx_metal_dep_chain; genuine half dep-chain probes measured (2026-04-02): fp16x2_dd_genuine=6.229ms/dispatch (1.82× baseline); fp16x4_genuine=17.105ms/dispatch (4.99× baseline); AGX widens half→float internally — fp16x2 1.17× MORE expensive than float32x2 DD genuine,gpu_traced,gpu_backends=agx_format_counter_deltas|agx_format_counters|agx_format_trace,timed_backend,timing_backends=mlx_gpu|pytorch_cpu|pytorch_mps,Metal genuine half dep-chain measured (2026-04-02) — AGX half widening overhead confirmed; fp16x2 not faster than fp32x2 for software-emulated precision.
fp,32,float32,32,measured,timing_backends=apple_cpu_reference,measured,timing_backends=agx_type_surface|agx_metal_dep_chain; fadd dep-chain latency=1.695 ns/step; fmul dep-chain latency=1.347 ns/step (fmul 1.26× faster than fadd); DD genuine dep-chain: 5.832ms/dispatch (1.70× baseline); DS-mul genuine: 4.812ms/dispatch (1.40× baseline) — all measured via reassociate(off) serial probes (2026-04-02),gpu_traced,gpu_backends=agx_counter_deltas|agx_counters|agx_format_counters|agx_format_trace|agx_trace,timed_backend,timing_backends=mlx_gpu|pytorch_cpu|pytorch_mps,Metal AGX FP32 arithmetic latencies fully characterized (2026-04-02): fadd=1.695ns fmul=1.347ns fma=1.993ns; ranking fmul < fadd < fma for serial dep chains. DS-mul step latency = 2.072 ns ≈ 1 FMA (FMA-bottlenecked, fmul/fadd overlapped). Veltkamp DS-multiply is optimal wide-precision base on AGX.
fp,64,float64,64,measured,timing_backends=aarch64_scalar,not_available,Metal compiler rejects double keyword with explicit error: not supported in Metal. AGX has no FP64 hardware.,gap,no per-format GPU trace/counter rows (FP64 not executable on AGX),timed_backend,timing_backends=pytorch_cpu,Metal fp64 classification confirmed as not_available — no further Metal action needed.
tf,4,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Keep unmodeled unless a non-TF32 Apple tensor-float surface appears.
tf,8,,,not_modeled,no requested CPU slot modeled in taxonomy,not_modeled,no requested Metal slot modeled in taxonomy,not_modeled,no requested GPU slot modeled in taxonomy,not_modeled,no requested neural slot modeled in taxonomy,Keep unmodeled unless a non-TF32 Apple tensor-float surface appears.
