family,format,bit_width,signedness,lane,expected_exposure,proxy_policy,cuda_reference,status,notes
int,int4,4,signed,cross,packed_or_emulated,nibble_proxy,probe_4bit_formats.cu,frontier,"No direct Apple CPU or Metal evidence yet; treat as packed frontier format."
uint,uint4,4,unsigned,cross,packed_or_emulated,nibble_proxy,probe_uint4_tensor.cu,frontier,"Use packed-buffer or tensor-style proxy rows until a native Apple surface is proven."
fp,fp4_e2m1,4,unsigned,neural,framework_proxy,model_proxy,probe_4bit_formats.cu,frontier,"Neural-only proxy target for low-bit backend behavior; no native Apple evidence."
fp,fp4,4,unsigned,neural,framework_proxy,model_proxy,probe_4bit_formats.cu,frontier,"Generic 4-bit floating-point proxy row when the framework does not expose the exact subformat."
more,nf4,4,unsigned,neural,framework_proxy,model_proxy,probe_nf4_normalfloat.cu,frontier,"Treat as quantized model format rather than a native instruction-path claim."
int,int8,8,signed,cross,native_or_lowered,native_first,probe_int8_dp4a.cu,active,"Candidate native row for CPU SIMD, Metal packed arithmetic, and neural quantized inference."
uint,uint8,8,unsigned,cross,native_or_lowered,native_first,probe_uint8_uint16_paths.cu,active,"Track separately from int8 because Core ML and Metal may expose unsigned paths differently."
fp,fp8_e4m3,8,unsigned,neural,framework_proxy,model_proxy,probe_fp8_precision.cu,frontier,"Only count as native if a backend exposes stable fp8 tensors without hidden widening."
fp,fp8_e5m2,8,unsigned,neural,framework_proxy,model_proxy,probe_fp8_precision.cu,frontier,"Use as a frontier neural/backend row first; no current Apple-native evidence."
mx,mxfp8,8,unsigned,neural,framework_proxy,model_proxy,probe_mx_microscaling.cu,frontier,"MXFP8 should enter the atlas immediately but stay labeled as proxy or unsupported until proven."
mx,mxint8,8,signed,neural,framework_proxy,model_proxy,probe_mx_microscaling.cu,frontier,"Neural placement row first, then packed CPU/Metal proxy rows if reproducible."
int,int16,16,signed,cross,native,native_first,probe_int16_arithmetic.cu,active,"CPU SIMD and scalar evidence already exist; Metal row still needs direct typed probe coverage."
uint,uint16,16,unsigned,cross,native_or_lowered,native_first,probe_uint8_uint16_paths.cu,active,"Keep separate from int16 because zero-extension vs sign-extension changes lowering."
fp,float16,16,unsigned,cross,native,native_first,probe_fp16_half2.cu,measured,"Apple CPU lane already shows full-speed f16; Metal and neural should use this as the reference row."
bf,bfloat16,16,unsigned,cross,native_or_proxy,honest_classifier,probe_bf16_arithmetic.cu,frontier,"Must be classified lane-by-lane: native, lowered, framework proxy, or unsupported."
tf,tf32,19,unsigned,neural,framework_proxy,model_proxy,probe_tf32_scalar.cu,frontier,"Apple rows should remain proxy or unsupported unless a backend exposes TF32 semantics directly."
int,int32,32,signed,cross,native,native_first,probe_int_arith.cu,active,"Primary typed integer baseline for CPU and Metal."
uint,uint32,32,unsigned,cross,native,native_first,probe_uniform_datapath.cu,active,"Primary unsigned baseline for Metal AIR conversion and atomic paths."
fp,float32,32,unsigned,cross,native,native_first,probe_fp32_arith.cu,measured,"Primary floating-point reference row across CPU, Metal, and neural."
more,fixed32,32,signed,cross,host_proxy,software_proxy,probe_fixed_point.cu,frontier,"Use host or framework proxy rows unless Apple-native fixed-point acceleration is evidenced."
int,int64,64,signed,cross,native,native_first,probe_int64_arithmetic.cu,active,"CPU row is directly measurable now; Metal needs explicit classification."
uint,uint64,64,unsigned,cross,native,native_first,probe_int64_arithmetic.cu,active,"Use CPU latency probes as the anchor for wider integer behavior."
fp,float64,64,unsigned,cross,native_or_limited,honest_classifier,probe_fp64_arithmetic.cu,active,"CPU has direct evidence; neural backends may classify this as unsupported or CPU-only."
mx,mxfp6,6,unsigned,neural,framework_proxy,model_proxy,probe_mx_microscaling.cu,frontier,"Frontier-only row in v1; classify as proxy or unsupported until there is executable evidence."
mx,mxfp4,4,unsigned,neural,framework_proxy,model_proxy,probe_mx_microscaling.cu,frontier,"Same honesty rule as mxfp6/mxfp8: include now, but never imply native support."
more,posit16,16,signed,cpu,host_proxy,software_proxy,probe_posit_unum.cu,frontier,"CPU software proxy row for non-IEEE experimentation."
