trace,schema,rows,export_file
gpu_baseline.trace,dyld-library-load,0,xctrace_gpu_baseline_dyld-library-load.xml
gpu_baseline.trace,life-cycle-period,4,xctrace_gpu_baseline_life-cycle-period.xml
gpu_baseline.trace,metal-application-encoders-list,999,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,1087,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-event-per-thread-intervals,0,xctrace_gpu_baseline_metal-driver-event-per-thread-intervals.xml
gpu_baseline.trace,metal-driver-intervals,2369,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-counter-intervals,0,xctrace_gpu_baseline_metal-gpu-counter-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,1545,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,2947,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_baseline.trace,metal-shader-profiler-intervals,0,xctrace_gpu_baseline_metal-shader-profiler-intervals.xml
gpu_baseline.trace,process-info,880,xctrace_gpu_baseline_process-info.xml
gpu_baseline.trace,thread-info,4265,xctrace_gpu_baseline_thread-info.xml
gpu_baseline.trace,time-profile,192,xctrace_gpu_baseline_time-profile.xml
gpu_baseline.trace,time-sample,194,xctrace_gpu_baseline_time-sample.xml
gpu_occupancy_heavy.trace,dyld-library-load,0,xctrace_gpu_occupancy_heavy_dyld-library-load.xml
gpu_occupancy_heavy.trace,life-cycle-period,4,xctrace_gpu_occupancy_heavy_life-cycle-period.xml
gpu_occupancy_heavy.trace,metal-application-encoders-list,797,xctrace_gpu_occupancy_heavy_metal-application-encoders-list.xml
gpu_occupancy_heavy.trace,metal-command-buffer-completed,870,xctrace_gpu_occupancy_heavy_metal-command-buffer-completed.xml
gpu_occupancy_heavy.trace,metal-driver-event-per-thread-intervals,0,xctrace_gpu_occupancy_heavy_metal-driver-event-per-thread-intervals.xml
gpu_occupancy_heavy.trace,metal-driver-intervals,1888,xctrace_gpu_occupancy_heavy_metal-driver-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-counter-intervals,0,xctrace_gpu_occupancy_heavy_metal-gpu-counter-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-intervals,1219,xctrace_gpu_occupancy_heavy_metal-gpu-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,2327,xctrace_gpu_occupancy_heavy_metal-gpu-state-intervals.xml
gpu_occupancy_heavy.trace,metal-shader-profiler-intervals,0,xctrace_gpu_occupancy_heavy_metal-shader-profiler-intervals.xml
gpu_occupancy_heavy.trace,process-info,878,xctrace_gpu_occupancy_heavy_process-info.xml
gpu_occupancy_heavy.trace,thread-info,4328,xctrace_gpu_occupancy_heavy_thread-info.xml
gpu_occupancy_heavy.trace,time-profile,118,xctrace_gpu_occupancy_heavy_time-profile.xml
gpu_occupancy_heavy.trace,time-sample,120,xctrace_gpu_occupancy_heavy_time-sample.xml
gpu_threadgroup_heavy.trace,dyld-library-load,0,xctrace_gpu_threadgroup_heavy_dyld-library-load.xml
gpu_threadgroup_heavy.trace,life-cycle-period,4,xctrace_gpu_threadgroup_heavy_life-cycle-period.xml
gpu_threadgroup_heavy.trace,metal-application-encoders-list,799,xctrace_gpu_threadgroup_heavy_metal-application-encoders-list.xml
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,912,xctrace_gpu_threadgroup_heavy_metal-command-buffer-completed.xml
gpu_threadgroup_heavy.trace,metal-driver-event-per-thread-intervals,0,xctrace_gpu_threadgroup_heavy_metal-driver-event-per-thread-intervals.xml
gpu_threadgroup_heavy.trace,metal-driver-intervals,2026,xctrace_gpu_threadgroup_heavy_metal-driver-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-counter-intervals,0,xctrace_gpu_threadgroup_heavy_metal-gpu-counter-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1409,xctrace_gpu_threadgroup_heavy_metal-gpu-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,2695,xctrace_gpu_threadgroup_heavy_metal-gpu-state-intervals.xml
gpu_threadgroup_heavy.trace,metal-shader-profiler-intervals,0,xctrace_gpu_threadgroup_heavy_metal-shader-profiler-intervals.xml
gpu_threadgroup_heavy.trace,process-info,898,xctrace_gpu_threadgroup_heavy_process-info.xml
gpu_threadgroup_heavy.trace,thread-info,4293,xctrace_gpu_threadgroup_heavy_thread-info.xml
gpu_threadgroup_heavy.trace,time-profile,196,xctrace_gpu_threadgroup_heavy_time-profile.xml
gpu_threadgroup_heavy.trace,time-sample,198,xctrace_gpu_threadgroup_heavy_time-sample.xml
