format,bit_width,classification_mode,msl_type,kernel_name,compile_status,support_tier,timing_status,notes
float32,32,native_surface,float,probe_float32_surface,compiled,native,timed,Public MSL float surface compiled; still needs AIR review to split native from lowered. AIR evidence shows direct float-typed arithmetic. air=probe_float32_surface.air
float16,16,native_surface,half,probe_float16_surface,compiled,native,timed,Public MSL half surface compiled; timing remains a host-visible dispatch proxy. AIR evidence shows direct half-typed arithmetic. air=probe_float16_surface.air
bfloat16,16,native_surface,bfloat,probe_bfloat16_surface,compiled,native,timed,Public MSL bfloat surface compiled on this machine; keep classification honest until AIR/native lowering is separated. AIR evidence shows direct bfloat-typed arithmetic. air=probe_bfloat16_surface.air
float64,64,native_surface,double,probe_float64_surface,failed,unsupported_or_unknown,not_run,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_float64_surface.metal:6:5: error: 'double' is not supported in Metal     double a = double((gid & 255u) + 1u) * 0.25;     ^ /Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_float64_surface.metal:6:16: error: 'double' is not supported in Metal     double a = double((gid & 255u) + 1u) * 0.25;                ^ /Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_float64_surface.metal:7:5: error: 'double' is not supported in Metal     double b = double(((gid * 17u) & 255u) + 3u) * 0.125;     ^ /Users/e
int32,32,native_surface,int,probe_int32_surface,compiled,native,timed,Public MSL int surface compiled. AIR evidence shows direct int-typed arithmetic. air=probe_int32_surface.air
int16,16,native_surface,short,probe_int16_surface,compiled,compiler_lowered,timed,Packed 16-bit signed surface compiled through public MSL short. AIR evidence shows the public short surface widened into i32 operations. air=probe_int16_surface.air
uint32,32,native_surface,uint,probe_uint32_surface,compiled,native,timed,Public MSL uint surface compiled. AIR evidence shows direct uint-typed arithmetic. air=probe_uint32_surface.air
uint16,16,native_surface,ushort,probe_uint16_surface,compiled,compiler_lowered,timed,Packed 16-bit unsigned surface compiled through public MSL ushort. AIR evidence shows the public ushort surface widened into i32 operations. air=probe_uint16_surface.air
int8,8,native_surface,char,probe_int8_surface,compiled,compiler_lowered,timed,Packed 8-bit signed surface compiled through public MSL char. AIR evidence shows the public char surface widened into i32 operations. air=probe_int8_surface.air
int64,64,native_surface,long,probe_int64_surface,compiled,native,timed,Public MSL long surface compiled; native-vs-lowered still needs AIR/disassembly evidence. AIR evidence shows direct long-typed arithmetic. air=probe_int64_surface.air
uint8,8,native_surface,uchar,probe_uint8_surface,compiled,compiler_lowered,timed,Packed 8-bit unsigned surface compiled through public MSL uchar. AIR evidence shows the public uchar surface widened into i32 operations. air=probe_uint8_surface.air
uint64,64,native_surface,ulong,probe_uint64_surface,compiled,native,timed,Public MSL ulong surface compiled; native-vs-lowered still needs AIR/disassembly evidence. AIR evidence shows direct ulong-typed arithmetic. air=probe_uint64_surface.air
int4,4,frontier_proxy,int4_proxy,probe_int4_proxy,compiled,host_proxy,timed,No public MSL int4 scalar exists; this kernel uses signed nibble quantization as an honest packed proxy. air=probe_int4_proxy.air
uint4,4,frontier_proxy,uint4_proxy,probe_uint4_proxy,compiled,host_proxy,timed,No public MSL uint4 scalar exists; this kernel uses unsigned nibble quantization as an honest packed proxy. air=probe_uint4_proxy.air
fp4,4,frontier_proxy,fp4_proxy,probe_fp4_proxy,compiled,host_proxy,timed,No public MSL FP4 scalar exists; this kernel uses a 2e1m-style minifloat proxy without microscaling. air=probe_fp4_proxy.air
tf32,19,frontier_proxy,float_proxy,probe_tf32_proxy,compiled,host_proxy,timed,No public MSL TF32 scalar exists; this kernel uses mantissa truncation as an honest TF32-style proxy. air=probe_tf32_proxy.air
fp8_e4m3,8,frontier_proxy,fp8_proxy_e4m3,probe_fp8_e4m3_proxy,compiled,host_proxy,timed,No public MSL FP8 e4m3 scalar exists; this is a software minifloat proxy. air=probe_fp8_e4m3_proxy.air
fp8_e5m2,8,frontier_proxy,fp8_proxy_e5m2,probe_fp8_e5m2_proxy,compiled,host_proxy,timed,No public MSL FP8 e5m2 scalar exists; this is a software minifloat proxy. air=probe_fp8_e5m2_proxy.air
mxfp8,8,frontier_proxy,mx_proxy_fp8,probe_mxfp8_proxy,compiled,host_proxy,timed,MXFP8 is approximated as threadgroup-scale microscaling plus FP8 e4m3-style quantization. air=probe_mxfp8_proxy.air
mxint8,8,frontier_proxy,mx_proxy_int8,probe_mxint8_proxy,compiled,host_proxy,timed,MXINT8 is approximated as threadgroup-scale quantize/dequantize with signed int8 range. air=probe_mxint8_proxy.air
mxfp6,6,frontier_proxy,mx_proxy_fp6,probe_mxfp6_proxy,compiled,host_proxy,timed,MXFP6 is approximated as threadgroup-scale microscaling plus a 3e2m-style minifloat proxy. air=probe_mxfp6_proxy.air
mxfp4,4,frontier_proxy,mx_proxy_fp4,probe_mxfp4_proxy,compiled,host_proxy,timed,MXFP4 is approximated as threadgroup-scale microscaling plus a 2e1m-style minifloat proxy. air=probe_mxfp4_proxy.air
