Run ID,Host,Stack,Workload,Mesa state,Result summary,Artifact root,Status,Source
20260401_x130e_source_snapshot,x130e,workspace preservation,Source snapshot before migration,3f173c02d169ccc38c88fea9d58ce46ee1cf8d55,Remote Mesa state and curated findings preserved,results/x130e_terascale/blessed/20260401_x130e_source_snapshot,complete,SUMMARY.md
20260401_terakan_distcc_build_unblock,x130e,mesa26 terakan+r600+rusticl,meson reconfigure and ninja -C build-terakan-distcc -j36,main on private origin,Reconfigured the canonical Mesa 26 build root with clang-19 and distcc; routed the nightly bindgen seam with a user-local wrapper and completed the full build,/home/eirikr/workspaces/mesa/mesa-26-debug/build-terakan-distcc,complete,MEMORY_WORKSPACE.md
20260330_full_stack_profile,x130e,GL/GLES/Vulkan/VA,glmark2 glmark2-es2 vkmark vainfo,git-3f173c02d1 debug + Terakan cherry-pick,GL ~148 FPS GLES ~147 FPS Vulkan cube 619 FPS 10 VA decode profiles,results/x130e_terascale/blessed/20260401_x130e_source_snapshot/findings,complete,FULL_STACK_PROFILE_MESA26.md
20260331_terakan_conformance,x130e,Vulkan,dEQP unsupported_image_usage and smoke,git-3f173c02d1 debug + Terakan,Unsupported image usage failures reduced to zero and smoke 6/6,results/x130e_terascale/blessed/20260401_x130e_source_snapshot/findings,complete,TERAKAN_CONFORMANCE_PLAN.md
20260330_rusticl_baseline,x130e,Rusticl,clinfo clpeak baseline,git-3f173c02d1 debug + Rusticl fixes,Device enumeration works but heavy kernels hit GPR pressure,results/x130e_terascale/blessed/20260401_x130e_source_snapshot/findings,complete,RUSTICL_BASELINE.md
20260401_terascale_probe_tranche,x130e,probe_program,Inventory plus Vulkan/OpenCL/system tranche,main on private origin,Probe tranche completed with Vulkan enumeration success VK_KHR_display failure OpenCL 1.2 PALM exposure and tracing-tool inventory,results/terascale_probe_tranche_20260401_222559,complete,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_trace_stack,x130e,trace_stack,CPU GPU RAM IO and DRI trace inventory,main on private origin,Trace stack completed with tool inventory render-node ACL verification radeontop sample and perf_event_paranoid=2 blocker,results/terascale_trace_stack_20260401_222407,complete,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_root_perf_232930,x130e,root_perf,Root perf stat and perf record for vulkaninfo and clinfo,main on private origin,Root perf tranche completed with perf_event_paranoid=-1 and captured perf stat and perf record artifacts,results/terascale_root_perf_tranche_20260401_232930,complete,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_vk_probe_default_232421,x130e,vulkan_compute_probe,Seeded Vulkan compute probes under default profile,main on private origin,Vulkan compute probes compile to SPIR-V but all three crash in vk_get_compute_pipeline_compile_info with gdb backtraces,results/terascale_vk_probe_suite_20260401_232421,blocked,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_vk_probe_size_232535,x130e,vulkan_compute_probe,Seeded Vulkan compute probes under -Os profile,main on private origin,The size-optimized Vulkan compute probes fail identically to default confirming a driver-side pipeline creation blocker,results/terascale_vk_probe_suite_20260401_232535,blocked,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_opencl_probe_default_232421,x130e,opencl_probe,Seeded OpenCL probes under default profile,main on private origin,OpenCL probe host executes all three kernels and records timings but with large pathological checksums and nan_count,results/terascale_opencl_probe_suite_20260401_232421,complete,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_opencl_probe_size_232900,x130e,opencl_probe,Seeded OpenCL probes under -Os host profile,main on private origin,Size-profile OpenCL sweep completes with slightly varied timings but the same overflow-like numeric instability,results/terascale_opencl_probe_suite_20260401_232900_size,complete,TERASCALE_PROBE_PROGRAM.md
20260401_terascale_opencl_probe_noopt_232900,x130e,opencl_probe,Seeded OpenCL probes under -cl-opt-disable profile,main on private origin,Noopt OpenCL sweep completes and shifts timings but still shows unstable scalar and vec4 outputs,results/terascale_opencl_probe_suite_20260401_232900_noopt,complete,TERASCALE_PROBE_PROGRAM.md
20260402_terascale_vk_probe_u32_guard_diag,x130e,vulkan_compute_probe,Targeted depchain_u32_add manual diagnostic after shader_ops guard bridge,main on private origin,The probe now reaches vkCreateComputePipelines and fails cleanly with VK_ERROR_FEATURE_NOT_PRESENT plus an explicit Terakan-side bridge diagnostic instead of crashing,results/terascale_manual_diagnostics_20260402,complete,results/terascale_manual_diagnostics_20260402/README.md
20260402_terascale_opencl_integer_occ_diag,x130e,opencl_probe,Manual depchain_u16 depchain_u64 occupancy_gpr_32 and occupancy_gpr_64 diagnostics,main on private origin,New integer and occupancy families execute on Rusticl PALM and expose measurable build and kernel costs together with persistent numeric instability,results/terascale_manual_diagnostics_20260402,complete,results/terascale_manual_diagnostics_20260402/README.md
