Track,Subsystem,Topic,Status,Priority,Metric,Value,Unit,Blocker,Next action,Source snapshot,Source doc,Source section
r600-terascale,workspace,Preserved Mesa 26 debug source state,active,P0,mesa_commit,3f173c02d169ccc38c88fea9d58ce46ee1cf8d55,git_sha,Detached dirty worktree needs branch normalization,Create preservation branches before invasive refactors,20260401_x130e_source_snapshot,SUMMARY.md,Remote Mesa state
r600-terascale,workspace,Main live source checkout,active,P0,source_root,/home/nick/mesa-26-debug,path,Workspace still lives under nick,Move into /home/eirikr/workspaces/mesa/mesa-26-debug,20260401_x130e_source_snapshot,TERAKAN_PORT_STATUS.md,Files
r600-terascale,workspace,Raw research depot,active,P0,source_root,/home/nick/eric/TerakanMesa,path,Findings and tooling still split from normalized workspace,Move into /home/eirikr/workspaces/research/TerakanMesa,20260401_x130e_source_snapshot,COMPREHENSIVE_SCOPE.md,Terakan Build Source
r600-terascale,terakan,Terakan source copied into Mesa 26,complete,P0,port_step,src/amd/terascale imported,status,None,Keep source in-tree and wire through main Mesa workspace,20260401_x130e_source_snapshot,TERAKAN_PORT_STATUS.md,Completed
r600-terascale,terakan,Terakan Vulkan build,blocked,P0,build_status,fails on terakan_nir_lower_bindings.c,status,NIR builder macro API drift plus missing nir_uav_instr_r600 intrinsic,Patch nir builder generation and add custom UAV intrinsic,20260401_x130e_source_snapshot,TERAKAN_PORT_STATUS.md,Build Status
r600-terascale,terakan,NIR builder macro API for custom intrinsics,blocked,P0,build_blocker,present,status,Terakan branch uses old .field=value builder style against Mesa 26 generated helpers,Update nir_builder_opcodes_h.py path and callsites for Mesa 26 API,20260401_x130e_source_snapshot,TERAKAN_PORT_STATUS.md,Remaining (blocks build)
r600-terascale,terakan,nir_uav_instr_r600 intrinsic,missing,P0,build_blocker,not added,status,nir_intrinsics.py lacks store/atomic UAV custom intrinsic,Add nir_uav_instr_r600 to nir_intrinsics.py and regen builder headers,20260401_x130e_source_snapshot,TERAKAN_PORT_STATUS.md,Remaining (blocks build)
r600-terascale,vulkan,Unsupported image usage conformance failures,resolved,P0,deqp_failures_after,0,tests,None,Carry the usage-vs-feature validation forward during refactors,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,dEQP-VK Results — unsupported_image_usage suite
r600-terascale,vulkan,Unsupported image usage pass count,improved,P1,deqp_pass_after,4899,cases,None,Use as regression baseline for future dEQP reruns,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,dEQP-VK Results — unsupported_image_usage suite
r600-terascale,vulkan,Unsupported image usage not-supported count,known-limit,P2,deqp_not_supported_after,3925,cases,Hardware/feature coverage limits,Keep a separate unsupported ledger from true failures,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,dEQP-VK Results — unsupported_image_usage suite
r600-terascale,vulkan,dEQP smoke suite,complete,P1,pass_count,6/6,cases,None,Keep in smoke regression set,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,dEQP format_properties suite,partial,P1,pass_count,187/225,cases,Remaining unsupported or failing format properties,Investigate remaining format caps and unsupported surface exposure,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,dEQP renderpass suite,not-run,P0,coverage,0,suites,Suite not yet run,Run dEQP-VK.renderpass.* and capture first failure buckets,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,dEQP pipeline suite,not-run,P0,coverage,0,suites,Suite not yet run,Run dEQP-VK.pipeline.* and classify compiler versus runtime failures,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,dEQP spirv_assembly suite,not-run,P1,coverage,0,suites,Suite not yet run,Run dEQP-VK.spirv_assembly.* after pipeline smoke,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,dEQP draw sparse-feature crash,blocked,P0,crashing_tests,1,test,Sparse image query path still unstable,Add sparse image early-return guard and rerun draw coverage,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 1: Run broader test suites (Next)
r600-terascale,vulkan,WSI swapchain support,working,P1,feature,VK_KHR_swapchain,status,Earlier semaphore validation errors were observed under some configurations,Revalidate swapchain paths under normalized Mesa 26 tree,20260401_x130e_source_snapshot,COMPREHENSIVE_SCOPE.md,Terakan Vulkan Driver Status
r600-terascale,vulkan,Validation cleanliness,working,P1,validation_errors,0,errors,None,Keep validation layer runs in every smoke tranche,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,Vulkan 1.0 (Terakan, vkmark)
r600-terascale,vulkan,Terakan vkmark cube baseline,working,P1,fps,619,fps,None,Use as simple-geometry performance baseline after each major refactor,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,Vulkan 1.0 (Terakan, vkmark)
r600-terascale,vulkan,Terakan vkmark cube post-fix verification,working,P1,fps,1215,fps,Measurement context differs from earlier profile and needs normalization,Rerun vkmark under manifest-backed benchmark wrapper,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Benchmark Verification (post-fixes)
r600-terascale,rusticl,Rusticl device enumeration,working,P1,status,device detected,status,None,Preserve as compute smoke baseline,20260401_x130e_source_snapshot,RUSTICL_BASELINE.md,Status
r600-terascale,rusticl,Rusticl OpenCL conformance pass rate,partial,P0,pass_rate,37/48,cases,11 failures remain including API mismatch and hardware limits,Separate fixable failures from true hardware ceilings and iterate on fixable class,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Rusticl (OpenCL) Results
r600-terascale,rusticl,Rusticl crash count,improved,P1,crashes,0,tests,None,Keep NULL-guard regression test coverage around global binding path,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Rusticl (OpenCL) Results
r600-terascale,rusticl,8-bit lowering regression,resolved,P0,status,in place,status,None,Keep nir_lower_bit_size wiring through future driver refactors,20260401_x130e_source_snapshot,RUSTICL_BASELINE.md,Status
r600-terascale,r600-compute,Global binding API mismatch,blocked,P0,failing_tests,4,tests,Legacy r600 compute path expects r600_resource_global while Rusticl passes pipe_resource,Adapt evergreen_set_global_binding to handle both resource forms,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Remaining Failures
r600-terascale,r600-compute,GPR spill support in SFN,missing,P0,spill_fallback,absent,status,SFN RA has no spill-to-scratch candidate selection or insertion path,Implement spill candidate selection and scratch instruction insertion in RA failure path,20260401_x130e_source_snapshot,TERAKAN_CONFORMANCE_PLAN.md,Phase 3: GPR Spill Support (SFN)
r600-terascale,r600-compute,Usable vector GPR budget,known-limit,P1,usable_gprs,123,vec4_regs,Hardware and current allocator limits,Use this limit explicitly in compute kernel triage and spill heuristics,20260401_x130e_source_snapshot,RUSTICL_BASELINE.md,Register Limits
r600-terascale,r600-compute,Local-memory bandwidth benchmark,blocked,P1,clpeak_global_bandwidth,crash,status,GPR overflow assertion under heavier kernels,Stabilize SFN spill path before rerunning clpeak bandwidth cells,20260401_x130e_source_snapshot,RUSTICL_BASELINE.md,clpeak Results
r600-terascale,opengl,GL 4.6 average baseline,working,P2,fps,148,fps,None,Preserve as GL comparison baseline against Zink and Vulkan,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,Cross-Stack Comparison
r600-terascale,gles,GLES 3.1 average baseline,working,P2,fps,147,fps,None,Use for GL/GLES parity checks after winsys and DRI3 changes,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,Cross-Stack Comparison
r600-terascale,vaapi,VA-API profile exposure,working,P2,decode_profiles,10,profiles,None,Keep vainfo and decode smoke tests in validation bundle,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,VA-API
r600-terascale,profiling,GPU shader busy counter,measured,P2,shader_busy,95,percent,None,Use GALLIUM_HUD manifests to correlate with ISA-level inefficiencies,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,GALLIUM_HUD Pipeline (shading:phong)
r600-terascale,profiling,Top CPU hotspot,measured,P1,cpu_hotspot,radeon_cs_context_cleanup,function,Submission/cleanup overhead remains dominant on debug Mesa build,Trace queue and winsys teardown behavior under perf and trace-cmd,20260401_x130e_source_snapshot,FULL_STACK_PROFILE_MESA26.md,IBS CPU Hotspots
r600-terascale,winsys,Clock frequency fallback,resolved,P2,status,sysfs fallback added,status,None,Preserve radeon_drm_winsys clock reporting during DRM refactors,20260401_x130e_source_snapshot,RUSTICL_BASELINE.md,Clock Frequency Fix
r600-terascale,tooling,Installed profiling and debug toolkit,working,P2,tool_count,17,tools,None,Normalize wrappers and manifests around the existing toolkit before adding more tools,20260401_x130e_source_snapshot,COMPREHENSIVE_SCOPE.md,Tool Inventory
r600-terascale,dxvk,DXVK validation lane,planned,P1,status,not yet integrated,status,Depends on stable Terakan Vulkan, WSI, and Zink path,Stand up DXVK workspace after Terakan build and dEQP pipeline smoke are stable,20260401_x130e_source_snapshot,COMPREHENSIVE_SCOPE.md,Next Steps
