example_id,inspiration_source,apple_lane,format,bit_width,packing_style,apple_surface,backend_or_kernel,support_tier,current_telemetry,next_step,notes
lbm_int4_nibble_pair_soa,../cuda_lbm/kernels_int4.cu,metal+gpu,int4,4,nibble_packed_two_cells,frontier_proxy,probe_int4_proxy,host_proxy,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Mirrors the nibble-packed two-cells-per-thread bandwidth-ceiling INT4 lane from CUDA.
lbm_fp4_nibble_pair_soa,../cuda_lbm/kernels_fp4.cu,metal+gpu,fp4,4,nibble_packed_two_cells,frontier_proxy,probe_fp4_proxy,host_proxy,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Mirrors the emulated FP4 E2M1 nibble-packed bandwidth-ceiling lane from CUDA.
lbm_uint4_nibble_pair_soa,../cuda_lbm/kernels_int4.cu,metal+gpu,uint4,4,nibble_packed_two_cells,frontier_proxy,probe_uint4_proxy,host_proxy,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Unsigned nibble companion useful for pack/unpack and cache-pressure contrasts.
lbm_int8_i_major_soa,../cuda_lbm/kernels_int8_soa.cu,metal+gpu,int8,8,packed_scalar_stream,native_surface,probe_int8_surface,compiler_lowered,metal_timed+agx_traced,collect steinmarder-specific packed stream variants,Closest Apple analogue to the INT8 i-major SoA production tier.
lbm_uint8_pack4_stream,../cuda_lbm/kernels_int8.cu,metal+gpu,uint8,8,pack4_byte_group,native_surface,probe_uint8_surface,compiler_lowered,metal_timed+agx_traced,add explicit pack4 byte-group kernel,Tracks the CUDA pattern where four byte lanes are packed into one 32-bit carrier.
lbm_int16_i_major_soa,../cuda_lbm/kernels_int16_soa.cu,metal+gpu,int16,16,packed_scalar_stream,native_surface,probe_int16_surface,compiler_lowered,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Closest Apple analogue to the INT16 i-major SoA integer-stream tier.
lbm_uint16_pair_stream,../cuda_lbm/kernels_int16_soa.cu,metal+gpu,uint16,16,pair_packed_16bit,native_surface,probe_uint16_surface,compiler_lowered,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Useful unsigned companion for pair-packed 16-bit memory and ALU paths.
lbm_int32_accumulator,../cuda_lbm/kernels_int8_soa.cu,metal+gpu,int32,32,scalar_accumulator,native_surface,probe_int32_surface,native,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Represents the int32 accumulation lane that sits behind many packed INT8 workflows.
lbm_uint32_carrier,../cuda_lbm/kernels_int8.cu,metal+gpu,uint32,32,packed_carrier,native_surface,probe_uint32_surface,native,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Acts as the carrier type for byte-packed and halfword-packed Apple probe variants.
lbm_int64_long_accumulator,../cuda_lbm/README.md,metal+gpu,int64,64,wide_scalar_accumulator,native_surface,probe_int64_surface,native,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Wide integer accumulator reference for overflow-sensitive pack/unpack experiments.
lbm_uint64_long_carrier,../cuda_lbm/README.md,metal+gpu,uint64,64,wide_scalar_carrier,native_surface,probe_uint64_surface,native,metal_timed+agx_capture_in_progress,promote widened agx trace and counters,Wide unsigned carrier reference for future multi-pack or address-like experiments.
neural_tf32_proxy_tile,../cuda_lbm/README.md,neural,tf32,32,tensor_proxy,framework_proxy,pytorch_proxy_cpu+pytorch_proxy_mps,framework_proxy,timed,extend to larger workload set,Timed proxy tile mirroring the tensor-core TF32 reference posture without claiming native Apple TF32 exposure.
neural_fp8_proxy_tile,../cuda_lbm/kernels_fp8_e5m2_soa.cu,neural,fp8,8,minifloat_proxy,framework_proxy,pytorch_proxy_cpu+pytorch_proxy_mps,framework_proxy,timed,extend to MLX or Core ML if available,Timed proxy lane for the repo's FP8 research tiers.
neural_mx_proxy_tile,../cuda_lbm/README.md,neural,mx,8,microscaled_proxy,framework_proxy,pytorch_proxy_cpu+pytorch_proxy_mps,framework_proxy,timed,extend to larger workload set,Timed MX-family proxy lane for microscaled formats without overclaiming hardware-native support.
